,Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
0,G,Leno,4.5,4.5,Arsenal,0.0,0.0,0.0,0.0,1.0,0.046,0.0,0.0,1.0,0.042,0.0,0.0,0.0,0.0,1,0.042
1,G,Rúnarsson,4.0,4.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,M,Willian,6.3,6.3,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,F,Aubameyang,9.6,9.6,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,D,Cédric,4.2,4.2,Arsenal,31.0,3.215,0.0,0.0,14.0,0.619,15.0,0.652,17.0,0.694,4.425,0.679,4.720000000000001,0.8220000000000001,18,0.734
5,F,Lacazette,8.3,8.3,Arsenal,77.0,9.826,0.0,0.0,90.0,5.479,84.0,5.598999999999999,71.0,4.103,20.65,4.611,20.65,5.039,67,4.024
6,M,Xhaka,4.8,4.8,Arsenal,82.5,5.3100000000000005,0.0,0.0,94.0,2.89,93.0,2.851,77.0,2.224,22.42,2.568,21.83,2.672,74,2.162
7,D,Marí,4.2,4.2,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,D,Bellerín,4.8,4.8,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,D,Chambers,4.2,4.2,Aston Villa,49.0,2.376,3.266666666666667,0.0,4.033333333333333,0.403,13.76,0.412,12.0,0.382,6.05,0.6190000000000001,6.05,0.6100000000000001,14,0.352
10,D,Kolasinac,4.2,4.2,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
11,M,Elneny,4.4,4.4,Arsenal,8.5,0.798,0.0,0.0,13.0,0.5750000000000001,12.0,0.527,14.0,0.6,3.835,0.6050000000000001,3.835,0.627,18,0.778
12,M,Maitland-Niles,5.2,5.2,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
13,D,Holding,4.1,4.1,Arsenal,13.0,1.17,0.0,0.0,22.0,0.939,23.0,0.952,19.0,0.733,8.26,1.3019999999999998,8.555,1.5599999999999998,29,1.171
14,M,Partey,5.0,5.0,Arsenal,84.0,5.978999999999999,0.0,0.0,95.0,3.192,92.0,3.136,75.0,2.383,22.715,2.8120000000000003,22.715,3.007,71,2.309
15,D,Tierney,5.1,5.1,Arsenal,88.0,9.474,0.0,0.0,100.0,4.601999999999999,97.0,4.398000000000001,83.0,3.296,23.6,3.8,22.715,4.35,80,3.208
16,M,Pépé,6.9,6.9,Arsenal,15.5,2.312,0.0,0.0,14.0,1.084,16.0,1.301,15.0,1.061,4.720000000000001,1.2679999999999998,5.31,1.5039999999999998,19,1.345
17,M,Torreira,4.5,4.5,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
18,M,Willock,5.7,5.7,Newcastle,41.0,1.607,48.0,0.0,20.26,2.418,59.0,1.951,17.15,0.652,21.55333333333333,2.276,20.33333333333333,2.39,48,2.043
19,F,Nketiah,5.4,5.4,Arsenal,13.5,1.823,0.0,0.0,15.0,1.036,16.0,1.208,16.0,1.066,4.13,1.0499999999999998,4.720000000000001,1.2859999999999998,17,1.158
20,M,Smith Rowe,5.8,5.8,Arsenal,54.0,6.048,0.0,0.0,51.0,2.709,49.0,2.76,45.0,2.306,13.865,2.6980000000000004,13.57,2.8610000000000007,46,2.384
21,M,Saka,6.4,6.4,Arsenal,78.5,9.342,0.0,0.0,94.0,5.22,86.0,5.238,72.0,3.813,20.65,4.284,21.24,4.828,74,3.963
